feature,bin,woe,coefficient,points,bad_rate,iv
delinquency_60_12m,1,-0.4441856781412902,-0.6302433606981848,-20.1937685398663,0.04448462929475588,0.0890425159218591
delinquency_60_12m,2,-0.9948247945838159,-0.6302433606981848,-45.227171041645924,0.07418856259659969,0.0890425159218591
delinquency_60_12m,3,-1.1957220419273167,-0.6302433606981848,-54.36045181316256,0.08163265306122448,0.0890425159218591
delinquency_60_12m,4,-2.4107446824398377,-0.6302433606981848,-109.59835609652052,0.2,0.0890425159218591
max_dpd_24m,"(-inf, 5.0]",0.559090734456566,-0.22763369178425202,9.180437538814353,0.016751541141785044,0.10736500218034935
max_dpd_24m,"(11.0, 30.0]",0.08653239451728607,-0.22763369178425202,1.4208878702347754,0.026639621365787694,0.10736500218034935
max_dpd_24m,"(30.0, 63.0]",-0.24665000537168258,-0.22763369178425202,-4.050067061948184,0.03680981595092025,0.10736500218034935
max_dpd_24m,"(5.0, 11.0]",0.2242087218245026,-0.22763369178425202,3.681574455652429,0.023284313725490197,0.10736500218034935
max_dpd_24m,"(63.0, inf]",-0.3794654131326431,-0.22763369178425202,-6.230935890559367,0.041827719491993376,0.10736500218034935
inquiries_90d,"(-inf, 1.0]",0.17490422526325525,0.2303617002276793,-2.9063982252730236,0.024472672182729284,0.02604740209566453
inquiries_90d,"(1.0, 2.0]",-0.06004198908561479,0.2303617002276793,0.997722783755723,0.03073607803107633,0.02604740209566453
inquiries_90d,"(2.0, 3.0]",-0.15854503084316265,0.2303617002276793,2.6345561153532113,0.03378253645929481,0.02604740209566453
inquiries_90d,"(3.0, inf]",-0.23110297566148502,0.2303617002276793,3.8402575884423995,0.036230409118664764,0.02604740209566453
inquiries_90d,MISSING,-0.05772873581890013,0.2303617002276793,0.9592832596169144,0.029723991507430998,0.02604740209566453
outstanding_debt,"(-inf, 92256.97]",-0.45813258073321456,0.026350720886598566,0.8708196543630022,0.045118235891484115,0.11782691928036372
outstanding_debt,"(190288.7, 301973.56]",0.27982165520748115,0.026350720886598566,-0.5318857625909852,0.022054556006964595,0.11782691928036372
outstanding_debt,"(301973.56, 445987.75]",0.3069945447908089,0.026350720886598566,-0.5835360649491513,0.021474172954149738,0.11782691928036372
outstanding_debt,"(445987.75, inf]",0.3855852159172165,0.026350720886598566,-0.732921426184371,0.01987811955890888,0.11782691928036372
outstanding_debt,"(92256.97, 190288.7]",-0.0705641818270829,0.026350720886598566,0.13412858856430457,0.031050493325594893,0.11782691928036372
outstanding_debt,MISSING,-0.45485681464149286,0.026350720886598566,0.8645930692744637,0.04484691677447176,0.11782691928036372
total_limit,"(-inf, 240576.82]",-0.6146201780802232,0.10672703487015378,4.731793695307049,0.05237197156535616,0.1810715961606787
total_limit,"(1016130.76, inf]",0.4546115898319693,0.10672703487015378,-3.4999310652304207,0.01857225769007545,0.1810715961606787
total_limit,"(240576.82, 604671.81]",0.07902356637611804,0.10672703487015378,-0.608380958671336,0.026842716192687174,0.1810715961606787
total_limit,"(604671.81, 812508.96]",0.2865489722485341,0.10672703487015378,-2.206062652413196,0.02190946024376088,0.1810715961606787
total_limit,"(812508.96, 1016130.76]",0.3855852159172165,0.10672703487015378,-2.968515774050211,0.01987811955890888,0.1810715961606787
total_limit,MISSING,-0.45485681464149286,0.10672703487015378,3.501818984386054,0.04484691677447176,0.1810715961606787
utilization_rate,"(-inf, 0.169]",0.13143754089911336,0.19287399872856426,-1.8286797383913467,0.025503550210114478,0.03286167315430205
utilization_rate,"(0.169, 0.28]",0.15257533316517702,0.19287399872856426,-2.122768110456566,0.024981844589687725,0.03286167315430205
utilization_rate,"(0.28, 0.397]",0.15972898766085394,0.19287399872856426,-2.2222963193853804,0.02480777600464239,0.03286167315430205
utilization_rate,"(0.397, 0.542]",-0.06574155311498366,0.19287399872856426,0.9146568425532686,0.03090539756239118,0.03286167315430205
utilization_rate,"(0.542, inf]",-0.14520416052135693,0.19287399872856426,2.020213589353004,0.033381712626995644,0.03286167315430205
utilization_rate,MISSING,-0.45485681464149286,0.19287399872856426,6.3283855975559975,0.04484691677447176,0.03286167315430205
oldest_trade_months,"(-inf, 11.0]",-0.5644641547097308,-0.03700234420161762,-1.506642277991512,0.049937229739154695,0.1769071835780484
oldest_trade_months,"(11.0, 25.0]",0.011557668612801861,-0.03700234420161762,0.030849208088363684,0.0286687482259438,0.1769071835780484
oldest_trade_months,"(25.0, 39.0]",0.2965451188169817,-0.03700234420161762,0.7915248640924528,0.021693907875185735,0.1769071835780484
oldest_trade_months,"(39.0, 58.0]",0.2825787987171326,-0.03700234420161762,0.7542465920271239,0.02199281867145422,0.1769071835780484
oldest_trade_months,"(58.0, inf]",0.6085364481311979,-0.03700234420161762,1.6242780569914657,0.01595433255269321,0.1769071835780484
